name,category,nationality,nature,website,twitter,date_signed
"Pegasus Research Foundation","civil-society","USA","","https://www.ncip.tech/","","2019-11-15"
"Penta Hospitals CZ","private-sector","CZE","","","",""
"Penta Hospitals International","private-sector","SVK","","","",""
"Pérou","state","PER","","","",""
"PERSATUAN GURU STEM MALAYSIA","civil-society","MYS","Association","","",""
"PERÚ CIBERSEGURO","civil-society","PER","Organisation à but non lucratif","","",""
"Phambano Technology Development Centre NPC","civil-society","ZAF","Organisation à but non lucratif","","",""
"Philippines","state","PHL","","","",""
"PIERSTONE s.r.o., advokátní kancelář","private-sector","CZE","Entreprise","","",""
"Plaksha University","civil-society","IND","Université","","",""
"Plunge Smile Foundation","civil-society","NGA","Fondation ","","",""
"Pôle d'Excellence Cyber","civil-society","FRA","","","",""
"Pôle de compétitivité mondial Solutions Communicantes Sécurisées (SCS)","private-sector","FRA","Association professionnelle ","","",""
"Polish Hospital Federation","private-sector","POL","Association professionnelle ","","",""
"Polityka Insight","private-sector","POL","Entreprise","","",""
"Pologne","state","POL","UE","","",""
"Pontifical Academy for Life","civil-society","VAT","Académie","","",""
"Portugal","state","PRT","UE","","",""
"POST Cyberforce","private-sector","LUX","Entreprise","","",""
"Predica","private-sector","POL","Entreprise","","",""
"Preston Development Foundation","civil-society","NGA","Fondation ","","",""
"Privacy Academy","private-sector","BRA","","https://www.privacyacademy.com.br","AcademyPrivacy","2019-11-28"
"Privacy Thailand","private-sector","THA","Entreprise","","",""
"ProCare, a.s.","private-sector","SVK","","","",""
"Professional Options","private-sector","USA","Entreprise","","",""
"Promusica","civil-society","COL","Association","","",""
"ProtectHut","private-sector","POL","Entreprise","","",""
"Provision IT group","private-sector","ROM","Entreprise","","",""
"PROXIMUS Luxembourg S.A.","private-sector","LUX","Entreprise","","",""
"Public Knowledge","civil-society","USA","Fondation ","","",""
"Puresouls Learning Foundation","civil-society","NGA","Fondation ","","",""
"PwC","private-sector","GBR","Entreprise","","",""
"PwC Norway","private-sector","NOR","Entreprise","","",""
"Q4 Public Relations","private-sector","IRL","Entreprise","","",""
"Qatar","state","QAT","","","",""
"Quad9","civil-society","USA","Organisation à but non lucratif","","",""
"Qui Prior Law Associates","private-sector","IND","Entreprise","","",""
"QWANT","private-sector","FRA","Entreprise","","",""
"Rafturi Logistic SRL","private-sector","ROM","Entreprise","","",""
"Raiffeisen Switzerland","private-sector","CHE","Entreprise","","",""
"Rakuten, Inc","private-sector","JPN","Entreprise","","","2019-11-12"
"READ Foundation","civil-society","PAK","Organisation à but non lucratif","","",""
"Red Alert Labs","private-sector","FRA","Entreprise","","",""
"Redes Energéticas Nacionais (REN)","private-sector","PRT","Entreprise","","",""
"Redmond","public-authority","USA","Collectivité locale","","",""
"Region of Central Macedonia","public-authority","GRC","Collectivité locale","","",""
"Regionalne Centrum Zdrowia","private-sector","POL","","","",""
"Renaissance Numérique","civil-society","FRA","Think tank","","",""
"République centrafricaine","state","CAF","","","","2019-11-12"
"République dominicaine","state","DOM","","","",""
"République tchèque","state","CZE","UE","","",""
"Research Group in Strategic Studies and International Contemporary Politics - GEPPIC","civil-society","BRA","","","",""
"Réseau intégré sur la cybersécurité (SERENE-RISC)","civil-society","CAN","Centre de recherche ","","",""
"Reset Global People","private-sector","GHA","Entreprise","","",""
"Riga Graduate School of Law","civil-society","LVA","Université","","",""
"RIMAC Seguros","private-sector","PER","","","",""
"Risley Advisors","private-sector","USA","Entreprise","","",""
"roboGaze","private-sector","HUN","Entreprise","","",""
"Rockwell Automation","private-sector","USA","Entreprise","","",""
"Rohde & Schwarz Cybersecurity","private-sector","FRA","Entreprise","","",""
"Rohingya Project","civil-society","MYS","Association","","",""
"Roumanie","state","ROM","UE","","",""
"Royaume-Uni","state","GBR","UE","","",""
"RPHS Law","private-sector","","Entreprise","","",""
"RSA","private-sector","USA","Entreprise","","",""
"S&D Magazine","private-sector","FRA","Entreprise","","",""
"SafeCity","private-sector","NLD","","https://callfortrust.online","@callfortrust","2020-12-04"
"SaferNet Brazil","civil-society","BRA","ONG","","",""
"Safetica Technologies s.r.o.","private-sector","CZE","Entreprise","","",""
"Safran group","private-sector","FRA","Entreprise","","",""
"Saikrishna & Associates, Advocates","private-sector","IND","Entreprise","","",""
"Saint-Marin","state","SMR","","","",""
"SAKSHI Centre for Information, Education & Communication","civil-society","IND","Organisation à but non lucratif","","",""
"Salesforce","private-sector","USA","Entreprise","","",""
"Salvador","state","SLV","","","",""
"Samsung Electronics","private-sector","KOR","Entreprise","","",""
"Samvad Partners","private-sector","IND","Entreprise","","",""
"San José","public-authority","USA","Collectivité locale","","",""
"SAORA INDUSTRIES","private-sector","MYS","Entreprise","","",""
"SAP","private-sector","USA","Entreprise","","",""
"SaphX Technologies","private-sector","MYS","Entreprise","","",""
"SATS","private-sector","SGP","Entreprise","","",""
"Save the Children Romania","civil-society","ROM","Association","","",""
"Schindler Holding Ltd.","private-sector","CHE","Entreprise","","",""
"Schneider Electric","private-sector","USA","Entreprise","","",""
"SchoolNet SA","civil-society","ZAF","Organisation à but non lucratif","","",""
"Școala de Valori","civil-society","ROM","Fondation ","","",""
"Scytl Secure Electronic Voting, SA","private-sector","ESP","Entreprise","","",""
"Sealar Inc.","private-sector","HUN","","https://www.grayteq.com","@GrayteqDLP","2019-11-19"
"Secucloud","private-sector","DEU","Entreprise","","",""
"Secudit Ltd.","private-sector","HUN","Entreprise","","",""
"SECURITYMADEIN.LU","civil-society","LUX","","","",""
"Securiview","private-sector","FRA","Entreprise","","",""
"SEKOIA","private-sector","FRA","Entreprise","","",""
"Sénégal","state","SEN","","","",""
"Serbie","state","SCG","","","",""
"SEV – Hellenic Federation of Enterprises","private-sector","GRC","Association professionnelle ","","",""
"SGS","private-sector","CHE","Entreprise","","",""
"Shadline","private-sector","FRA","Entreprise","","",""
"Shardul Amarchand Mangaldas & Co","private-sector","IND","Entreprise","","",""
"Sharkawy & Sarhan Law Firm","private-sector","EGY","Entreprise","","",""
"Shinsenryoku, Inc.","private-sector","JPN","Entreprise","","",""
"Shopmeaway","private-sector","SEN","Entreprise","","",""
"Shudun Technology","private-sector","CHN","Entreprise","","",""
"Siemens","private-sector","DEU","Entreprise","","",""
"SigmaSoft SA","private-sector","GRC","Entreprise","","",""
"Silesian Catalysts","private-sector","POL","Entreprise","","",""
"Simbiotik Technologies","private-sector","MYS","Entreprise","","",""
"Simion & Baciu Law Firm","private-sector","ROM","Entreprise","","",""
"Simple Hardware s.r.o","private-sector","CZE","Entreprise","","",""
"Simplon Côte d'Ivoire","private-sector","CIV","Entreprise","","",""
"Singapour","state","SGP","","","",""
"Singtel","private-sector","SGP","Entreprise","","",""
"SIRO","private-sector","IRL","Entreprise","","",""
"SIYAFUNDA CTC - COMMUNITY TECHNOLOGY CENTRE","civil-society","ZAF","Organisation à but non lucratif","","",""
"SK infosec","private-sector","KOR","Entreprise","","",""
"SK&S Legal","private-sector","POL","Entreprise","","",""
"Sky","private-sector","GBR","Entreprise","","",""
"Skyguide","private-sector","CHE","Entreprise","","",""
"Slovaquie","state","SVK","UE","","",""
"Slovénie","state","SVN","UE","","",""
"SMU Centre for AI and Data Governance","civil-society","SGP","Université","","",""
"SoSafe","private-sector","DEU","Entreprise","","",""
"Social & Economic Research Initiative (SERI)","civil-society","MYS","","https://www.seri.my/","@SERI_Malaysia","2020-10-04"
"SocialGood Lagos","civil-society","NGA","Association","","",""
"Social Innovation Foundation","civil-society","THA","Fondation ","","",""
"Social Technology Institute","civil-society","THA","ONG","","",""
"SoftUni","private-sector","BGR","Entreprise","","",""
"SOFTIP","private-sector","SVK","Entreprise","","",""
"Software Legal","private-sector","ARG","Association professionnelle ","","",""
"Sogeti","private-sector","FRA","Entreprise","","",""
"Sonda","private-sector","CHL","Entreprise","","",""
"Sopra Steria","private-sector","FRA","Entreprise","","",""
"SPCSS","private-sector","CZE","Entreprise","","",""
"Special Olympics Indonesia","civil-society","IDN","Organisation à but non lucratif","","",""
"spiderSilk","private-sector","ARE","Entreprise","","",""
"SSH Communications Security Oyj","private-sector","FIN","Entreprise","","",""
"ST DIGITAL","private-sector","CMR","Entreprise","","",""
"StackPath","private-sector","USA","Entreprise","","",""
"State of Colorado","public-authority","USA","Etat fédéré","","",""
"State of São Paulo","public-authority","BRA","","","","2020-01-24"
"Step by Step Center for Education and Professional Development","civil-society","ROM","Association","","",""
"Stiftung Neue Verantwortung","civil-society","DEU","Think tank","","",""
"STORMSHIELD","private-sector","FRA","Entreprise","","",""
"Stratbase ADR Institute","civil-society","PHL","Centre de recherche","","",""
"Strathmore University Law School","civil-society","KEN","Université","","",""
"Stripe","private-sector","USA","Entreprise","","",""
"Strong Connexions","private-sector","USA","Entreprise","","",""
"Stuchlikova & Partners","private-sector","CZE","Entreprise","","",""
"Suède","state","SWE","UE","","",""
"Suisse","state","CHE","","","",""
"Suriname","state","SUR","","","","2019-11-12"
"Swico","private-sector","CHE","Association professionnelle ","","",""
"Swift","private-sector","BEL","Entreprise","","",""
"Swiss Academy of Engineering Sciences SATW","civil-society","CHE","Centre de recherche","","",""
"Swiss Cybersecurity Advisory and Research Group","civil-society","CHE","Centre de recherche","","",""
"Swiss Post Ltd.","private-sector","CHE","Entreprise","","",""
"Swiss Re","private-sector","CHE","Entreprise","","",""
"Swiss Telecommunications Association (asut)","private-sector","CHE","Association professionnelle ","","",""
"Swiss Webacademy","civil-society","CHE","ONG","","",""
"Swisscom","private-sector","CHE","Entreprise","","",""
"Swissmem","private-sector","CHE","Association professionnelle ","","",""
"Symantec Corporation","private-sector","USA","Entreprise","","",""
"Synapse","civil-society","SEN","Organisation à but non lucratif","","",""
"Syntec Numérique","private-sector","FRA","Association professionnelle ","","",""
"T-SOFT","private-sector","CZE","Entreprise","","",""
"TAD GROUP","private-sector","USA","Entreprise","","",""
"Taiwan External Trade Development Council","private-sector","TWN","","","",""
"Talk-A-Bot","private-sector","HUN","Entreprise","","",""
"TAP India","civil-society","IND","Fondation ","","",""
"Tech Impact","civil-society","USA","Organisation à but non lucratif","","",""
"Tech In France","private-sector","FRA","Association professionnelle ","","",""
"TechLegis","private-sector","IND","Entreprise","","",""
"TechNet","private-sector","USA","Association professionnelle ","","",""
"techUK","private-sector","GBR","Association professionnelle ","","",""
"Technical University of Sofia","civil-society","BGR","Université","","",""
"Technology Industries of Finland","private-sector","FIN","Association professionnelle ","","",""
"Technology Ireland","private-sector","IRL","Association professionnelle ","","",""
"Technology Research Project Corporate (TRPC)","private-sector","SGP","Entreprise","","",""
"Tecnología Especializada Asociada de México","private-sector","MEX","Entreprise","","",""
"Telefonica","private-sector","ESP","Entreprise","","",""
"Telelink Business Service","private-sector","BGR","Entreprise","","",""
"Telenor Group","private-sector","NOR","Entreprise","","",""
"Teletón","civil-society","CHL","","https://www.teleton.cl/","","2020-09-30"
"Temple University","civil-society","USA","Université","","",""
"Tenable","private-sector","USA","Entreprise","","",""
"Thai E-Commerce Association","private-sector","THA","Association professionnelle ","","",""
"Thai Game Software Industry Association (TGA)","private-sector","THA","Association professionnelle ","","",""
"Thai Netizen Network","civil-society","THA","Fondation ","","",""
"Thales","private-sector","FRA","Entreprise","","",""
"The American Malaysian Chamber of Commerce","private-sector","MYS","Chambre de commerce","","",""
"The Applied Sciences Academy","civil-society","MLT","","","",""
"The Beautiful Foundation","civil-society","KOR","","","",""
"The Boston Consulting Group","private-sector","USA","Entreprise","","",""
"The Coalition of Services Industries","private-sector","USA","Association professionnelle ","","",""
"The Collins Institute","civil-society","IRL","Think tank","","",""
"The Colombian Federation of the Software Industry and Related Information Technologies - FEDESOFT","private-sector","COL","Association professionnelle ","","",""
"The Commune of Șelimbăr","public-authority","ROM","Collectivité locale","","",""
"THE CSR Co.,Ltd.","private-sector","KOR","Entreprise","","",""
"The DARIU Foundation","civil-society","CHE","Organisation à but non lucratif","","",""
"The Dialogue","civil-society","IND","","","",""
"The Faculty of International Business and Economics in the Bucharest University of Economic Studies","civil-society","ROM","Université","","",""
"The Future Project Africa","civil-society","NGA","Organisation à but non lucratif","","",""
"The Future Society","civil-society","USA","Think tank","","",""
"The Girls Code Initiative","civil-society","NGA","Organisation à but non lucratif","","","2019-11-12"
"The Hague Center of Strategic Studies","civil-society","NLD","Think tank","","",""
"The Hague Security Delta Foundation","civil-society","NLD","Fondation ","","",""
"The ICT Association of Hungary – IVSZ","private-sector","HUN","Association professionnelle ","","",""
"The International Women´s Forum Mexico Chapter","civil-society","MEX","Association","","",""
"The Internet Society (ISOC)","civil-society","USA","Association","","",""
"The Japan Institute of International Affairs (JIIA)","civil-society","JPN","Think tank","","",""
"The Johannesburg Parent and Child Counselling Centre","civil-society","ZAF","Organisation à but non lucratif","","",""
"The KnowledgeFlow Cybersafety Foundation","civil-society","CAN","ONG","","",""
"The Kosciuzsko Institute","civil-society","POL","Think tank","","",""
"The Linux Foundation","private-sector","USA","Association professionnelle ","","",""
"The Media Institute","civil-society","USA","Organisation à but non lucratif","","",""
"The Polish Chamber of Information Technology and Telecommunications","civil-society","POL","Fédération","","",""
"The Vedica Scholars Programme for Women","civil-society","IND","Université","","",""
"The World Wide Web Foundation","civil-society","USA","Fondation ","","",""
"The Zariah Elizabeth Foundation.","civil-society","NGA","Fondation ","","",""
"Therapia SA","private-sector","GRC","Entreprise","","",""
"THINKTANK - Centre for Dialogue and Analysis","civil-society","POL","Think tank","","",""
"Threat Modeler","private-sector","USA","Entreprise","","",""
"TIARCENTER","civil-society","RUS","Think tank","","",""
"TKEB GROUPE","private-sector","SEN","","","@TKEBGroupe","2020-03-24"
"Top Value Service Sole Co.","private-sector","LAO","Entreprise","","",""
"TOPPEN Co., Ltd.","private-sector","JPN","Entreprise","","",""
"TOSHIBA CORPORATION","private-sector","JPN","","https://www.toshiba.co.jp/worldwide/index.html","","2020-03-13"
"Tosibox","private-sector","FIN","Entreprise","","",""
"Total","private-sector","FRA","Entreprise","","",""
"Transatlantic Commission on Election Integrity","civil-society","","Fondation ","","",""
"Trendmicro","private-sector","JPN","Entreprise","","",""
"Trevor Noah Foundation","civil-society","ZAF","Organisation à but non lucratif","","",""
"Trifold X","private-sector","MYS","Entreprise","","",""
"Trilegal","private-sector","IND","Entreprise","","",""
"Țuca Zbârcea & Asociații","private-sector","ROM","Entreprise","","",""
"Tudor Rose","private-sector","GBR","Entreprise","","",""
"Tunisie","state","TUN","","https://www.diplomatie.gov.tn","@Tunisie.Diplo","2019-11-11"
"Turkish Informatics Foundation (TBV -Türkiye Bilişim Vakfı)","civil-society","TUR","Organisation à but non lucratif","","",""
"TUV SUD","private-sector","DEU","Entreprise","","",""
"UCD Centre for Cybersecurity & Cybercrime Investigation","civil-society","IRL","Université","","",""
"Udayan Care","civil-society","IND","Fondation ","","",""
"UiPath","private-sector","USA","Entreprise","","",""
"Unisys","private-sector","USA","Entreprise","","",""
"Universidad Católica de Santa María","civil-society","PER","Université","","",""
"Universidad CLAEH","civil-society","URY","","","",""
"Universidad de Ingeniería y Tecnología (UTEC)","civil-society","PER","université","","",""
"Universidad Externado de Colombia","civil-society","COL","","","","2020-03-20"
"Universidad Iberoamericana (UNIBE)","civil-society","DOM","Université","","",""
"Universidad Nacional Mayor de San Marcos","civil-society","PER","","","",""
"Universidad Panamericana (México)","civil-society","MEX","Université","","",""
"Universidad Tecnológica del Perú","civil-society","PER","Université","","","2019-11-12"
"Université Bretagne Sud","civil-society","FRA","","https://www.univ-ubs.fr","@UBS_universite","2019-11-14"
"University College Cork","civil-society","IRL","Université","","",""
"University College Dublin (UCD)","civil-society","IRL","Université","","",""
"University of Exeter","civil-society","GBR","Université","","",""
"University of Malaya STEM Centre","civil-society","MYS","Université","","",""
"University of National and World Economy (UNWE)","civil-society","BGR","Université","","",""
"University of Piraeus","civil-society","GRC","Université","","",""
"University of Pittsburgh Institute for Cyber Law, Policy and Security (Pitt Cyber)","civil-society","USA","Université","","",""
"University of Sibiu","civil-society","ROM","Université","","",""
"Ursa Major Technologies, Inc.","private-sector","USA","Entreprise","","",""
"US-India Strategic Partnership Forum (USISPF)","civil-society","IND","","","",""
"US Licensing Group","private-sector","USA","Entreprise","","",""
"US Medical IT","private-sector","USA","Entreprise","","",""
"VALIDY NET INC","private-sector","FRA","Entreprise","","",""
"VALIDY SAS","private-sector","FRA","Entreprise","","",""
"Vancouver SecSIG","private-sector","CAN","Association professionnelle ","","",""
"‘Vasile Goldiș’ Western University of Arad","civil-society","ROM","Université","","",""
"Verband der TÜV","civil-society","DEU","Fédération","","",""
"Vidhi Centre for Legal Policy","civil-society","IND","Think tank","","",""
"Vietnet ICT","civil-society","VNM","Organisation à but non lucratif","","","2019-11-12"
"Vietnet Information Technology and Communication Center (VIETNET-ICT)","civil-society","VNM","Association","","",""
"Ville de Agios Dimitrios","public-authority","GRC","Collectivité locale","","",""
"Viria Plc","private-sector","FIN","Entreprise","","",""
"Visa","private-sector","USA","Entreprise","","",""
"Vittorio Dan Segre Foundation","civil-society","CHE","Fondation ","","",""
"VMWare","private-sector","USA","Entreprise","","",""
"VORAS Consulting","private-sector","LTU","Entreprise","","",""
"VU Security","private-sector","ARG","Entreprise","","",""
"Vukmir & Associates","private-sector","HRV","Entreprise","","",""
"Wannath","private-sector","FRA","","https://www.wannath.com","@Wannath_France","2019-11-14"
"WareServe Inc.","private-sector","JPN","Entreprise","","",""
"Wärtsilä","private-sector","FIN","Entreprise","","",""
"Washington State","public-authority","USA","Etat fédéré","","",""
"Waterloo Cybersecurity and Privacy Institute","civil-society","CAN","Université","","",""
"Wavestone","private-sector","FRA","Entreprise","","",""
"Waw Telecom","private-sector","SEN","Entreprise","","",""
"Werft22 AG","private-sector","CHE","Entreprise","","",""
"WestExec Advisors","private-sector","USA","Entreprise","","",""
"Westcon Comstor Mexico","private-sector","MEX","Entreprise","","",""
"WISE Partners","private-sector","FRA","Entreprise","","",""
"Wisekey","private-sector","CHE","Entreprise","","",""
"Wizfinity Edusolutions Pvt. Ltd","private-sector","IND","Entreprise","","",""
"Women4Cyber Foundation","civil-society","BEL","","https://www.women4cyber.eu","@Women4Cyber","2020-03-24"
"Women's Technology Empowerment Centre- W.TEC","civil-society","NGA","","https://www.wtec.org.ng","Wteconline","2019-11-29"
"Workday","private-sector","USA","","https://www.workday.com","@Workday","2019-11-18"
"World Economic Forum","civil-society","CHE","Organisation internationale","","",""
"World Leadership Alliance - Club de Madrid","civil-society","ESP","ONG","","",""
"Wygrajmy Zdrowie Foundation","civil-society","POL","","","",""
"Yahoo Japan Corporation","private-sector","JPN","Entreprise","","",""
"Yale Privacy Lab","civil-society","USA","Université","","",""
"YCAB Foundation","civil-society","IDN","Fondation ","","",""
"Yellow Cube","private-sector","HUN","Entreprise","","",""
"Yes Europe Lab","civil-society","NLD","Organisation à but non lucratif","","",""
"YesWeHack","private-sector","FRA","Entreprise","","",""
"YoGoKo","private-sector","FRA","Entreprise","","",""
"Yogosha","private-sector","FRA","Entreprise","","",""
"Youth-Minds Alignment and Development Centre","civil-society","NGA","Organisation à but non lucratif","","",""
"Združenje za informatiko in telekomunikacije (ZIT)","private-sector","SVN","Association professionnelle ","","",""
"Zimmer Biomet","private-sector","USA","","","",""
"ZIPSEE Digital Poland","civil-society","POL","Association","","",""
"Zitec.com","private-sector","ROM","Entreprise","","",""
"Zoho","private-sector","USA","Entreprise","","",""
"Zurich Insurance Group","private-sector","CHE","Entreprise","","",""
